dataset,experiment_index,fold,config,n_samples,n_classes,time_BetterCatBoost,ERT_generalized_norm_score_2_BetterCatBoost,ERT_L1_ECE_BetterCatBoost,ERT_brier_score_BetterCatBoost,ERT_logloss_BetterCatBoost,time_CheapBetterLGBMClassifier,ERT_generalized_norm_score_2_CheapBetterLGBMClassifier,ERT_L1_ECE_CheapBetterLGBMClassifier,ERT_brier_score_CheapBetterLGBMClassifier,ERT_logloss_CheapBetterLGBMClassifier,time_XT,ERT_generalized_norm_score_2_XT,ERT_L1_ECE_XT,ERT_brier_score_XT,ERT_logloss_XT,time_RF,ERT_generalized_norm_score_2_RF,ERT_L1_ECE_RF,ERT_brier_score_RF,ERT_logloss_RF,time_tabICLv2,ERT_generalized_norm_score_2_tabICLv2,ERT_L1_ECE_tabICLv2,ERT_brier_score_tabICLv2,ERT_logloss_tabICLv2,time_TabPFN,ERT_generalized_norm_score_2_TabPFN,ERT_L1_ECE_TabPFN,ERT_brier_score_TabPFN,ERT_logloss_TabPFN,time_PartitionWise,ERT_generalized_norm_score_2_PartitionWise,ERT_L1_ECE_PartitionWise,ERT_brier_score_PartitionWise,ERT_logloss_PartitionWise,time_NadarayaWatson,ERT_generalized_norm_score_2_NadarayaWatson,ERT_L1_ECE_NadarayaWatson,ERT_brier_score_NadarayaWatson,ERT_logloss_NadarayaWatson,time_InitLogitLGBMClassifier,ERT_generalized_norm_score_2_InitLogitLGBMClassifier,ERT_L1_ECE_InitLogitLGBMClassifier,ERT_brier_score_InitLogitLGBMClassifier,ERT_logloss_InitLogitLGBMClassifier,time_InitLogitCatboostClassifier,ERT_generalized_norm_score_2_InitLogitCatboostClassifier,ERT_L1_ECE_InitLogitCatboostClassifier,ERT_brier_score_InitLogitCatboostClassifier,ERT_logloss_InitLogitCatboostClassifier,time_IsotonicPredictor,ERT_generalized_norm_score_2_IsotonicPredictor,ERT_L1_ECE_IsotonicPredictor,ERT_brier_score_IsotonicPredictor,ERT_logloss_IsotonicPredictor,time_SMSPredictor,ERT_generalized_norm_score_2_SMSPredictor,ERT_L1_ECE_SMSPredictor,ERT_brier_score_SMSPredictor,ERT_logloss_SMSPredictor,time_TSPredictor,ERT_generalized_norm_score_2_TSPredictor,ERT_L1_ECE_TSPredictor,ERT_brier_score_TSPredictor,ERT_logloss_TSPredictor,time_overfitted_IsotonicPredictor,ERT_generalized_norm_score_2_overfitted_IsotonicPredictor,ERT_L1_ECE_overfitted_IsotonicPredictor,ERT_brier_score_overfitted_IsotonicPredictor,ERT_logloss_overfitted_IsotonicPredictor,time_overfitted_SMSPredictor,ERT_generalized_norm_score_2_overfitted_SMSPredictor,ERT_L1_ECE_overfitted_SMSPredictor,ERT_brier_score_overfitted_SMSPredictor,ERT_logloss_overfitted_SMSPredictor,time_overfitted_TSPredictor,ERT_generalized_norm_score_2_overfitted_TSPredictor,ERT_L1_ECE_overfitted_TSPredictor,ERT_brier_score_overfitted_TSPredictor,ERT_logloss_overfitted_TSPredictor,time_overfitted_PartitionWise,ERT_generalized_norm_score_2_overfitted_PartitionWise,ERT_L1_ECE_overfitted_PartitionWise,ERT_brier_score_overfitted_PartitionWise,ERT_logloss_overfitted_PartitionWise,ERT_L1_ECE_Binning_Classic,ERT_generalized_norm_score_2_Binning_Classic,top_class_ECE
LED-display-domain-7digit,0.0,0.0,CatBoost_r199_BAG_L1,450.0,10.0,18.87780737876892,-0.0317451230076266,-0.090780166066769,-0.0317639709772065,-0.116326811975903,2.091444969177246,-0.0249651823955202,-0.0539536895623637,-0.0197576601393986,-0.0871732962835166,1.057964324951172,0.0250859488688627,0.0238522612903681,-0.0980155307396113,-2.107657550578523,1.3275768756866455,-0.0082477250051518,-0.0066226155486785,-0.0675280314104878,-0.737235825185457,2.2252979278564453,-0.019683276469946,-0.0336002371987948,-0.0171859989736033,-0.0969192835771375,2.2893054485321045,0.0418964912365585,0.0629157288884744,-0.0078215238775,-0.0934361611094532,0.0663342475891113,0.0015369718360161,0.012200796370291,-0.0485715707110243,-1.979301792975101,0.014430284500122,0.0669686057415489,0.1172957134143345,-0.0119625559550042,-0.8213913867854801,2.098036766052246,-0.0760778635270078,-0.1550819206237793,-0.0086490275336572,-0.0266109357857041,3.0237061977386475,-0.0969286515719728,-0.1878879757691174,-0.0120919775315373,-0.0345621158555149,0.0251219272613525,0.0482098964109833,0.0762116223221851,0.0027032910557925,-0.3187003716992008,0.5197219848632812,-0.0730449479229563,-0.1390005145268514,-0.0086322903417737,-0.0234284426540964,0.0860705375671386,0.0014157777800813,0.0351387429051101,-0.0008658164331626,0.000326956863929,0.0057070255279541,0.1969072369330514,0.3692081690393388,0.0406896440670637,0.1406559281837609,0.0850505828857421,0.0271841372674369,0.077180002760142,0.0014992000365515,0.011723824991948,0.0196120738983154,0.0014014376897486,0.0351387429051101,-0.0005935834690884,0.0013727833599679,0.0414094924926757,0.1034442248566756,0.2084728463128623,0.0041446614400285,0.0229604180612498,0.1688613211534296,0.0721323289054179,0.0442673462629318
LED-display-domain-7digit,0.0,0.0,LightGBM_r194_BAG_L1,450.0,10.0,18.4100604057312,-0.0286225366143842,-0.0336026062164455,-0.0427187397489047,-0.1408963985016776,2.84126877784729,-0.0557271594669597,-0.1280094902714093,-0.0291067056918345,-0.1088667913588384,1.010571002960205,0.0094707155124238,0.0345927426757084,-0.128787289978779,-2.2591708655231115,1.2877132892608645,-0.0252970636640707,-0.0432797764800488,-0.0860104046124911,-0.7165777310289235,1.5709269046783447,-0.0229089251286423,-0.0518304748088121,-0.0305501415815933,-0.114423755807802,1.916527509689331,0.0107599969841985,0.0241970499698072,-0.0353708898505759,-0.1476554011998491,0.0335440635681152,0.0215967929143996,0.03985727671896,-0.0341158695835128,-1.4749882958643137,0.0065526962280273,0.0380062695485399,0.0550627391502105,-0.0372285618889699,-0.9651290380589476,2.195293664932251,-0.0895114308763847,-0.1601217586609224,-0.011399686092193,-0.0343660393605629,3.112246513366699,-0.0871168516281571,-0.1542756945536368,-0.0124855846703511,-0.0364398288043836,0.0274953842163085,0.0051873194076467,-0.0034703550984462,-0.0101657553843069,-0.347759161947502,0.5641539096832275,-0.0904059114685839,-0.1651890249902175,-0.0102955862773404,-0.030615181888764,0.0837025642395019,0.0149835602625101,0.0260491227482756,0.0001222122448574,0.0001543569626907,0.0058343410491943,0.1598787848829561,0.3121484522645672,0.0320570966319574,0.1102342141668002,0.1068487167358398,0.0455011530020803,0.0800946381626029,0.0034698410210792,0.012276184854822,0.0210719108581542,0.0149361873065202,0.0260491227482756,0.0001458610306355,0.0011462566065084,0.0339782238006591,0.0964995011453131,0.2069757990348928,0.003548486549902,0.0227720059144,0.1696902104241437,0.0731716115246535,0.0478272502289878
LED-display-domain-7digit,0.0,0.0,LinearModel_r31_BAG_L1,450.0,10.0,18.36253023147583,0.0342641162450128,0.0827185921555954,-0.0255919380469684,-0.0321628002665561,2.835009813308716,0.0142611208595254,0.0313284176488458,-0.0157049303488602,-0.0194740134817483,0.9993081092834472,0.023424996529125,0.033366419779292,-0.0991421431762384,-2.222213685479268,1.2777340412139893,0.0107524415648241,0.0157162782730301,-0.0611562338511807,-0.5570059872626573,1.758941888809204,0.0196622856410438,0.0593438244736494,-0.0147918507584831,-0.0152817482903224,1.8870220184326167,0.046703007285701,0.0949262081468219,-0.013711010422453,-0.0392492911186935,0.0322914123535156,0.0307899785242082,0.0223121519336503,-0.0267395349900524,-1.3469972400872696,0.0063440799713134,0.0616588541147959,0.069605342136185,-0.0258678373032358,-0.9640233690860462,2.158178329467773,0.0142522409160315,0.0425336929616363,-0.0102910690909695,0.0015951774798709,3.147465944290161,0.0034541620053805,0.0308683408754101,-0.013587176242824,-0.0009568059836035,0.0253286361694335,0.0356878169507569,0.0451942295220214,-0.0021352191412202,-0.3382264168486451,0.584907054901123,0.009105973474714,0.0469301574303406,-0.0109487624281604,-0.0005871396070384,0.0843634605407714,0.0430512588101291,0.0944736453103056,-0.0005340466026689,0.0299935635072244,0.0050899982452392,0.1776973244376975,0.3119857106017621,0.0381281644926005,0.1869276573624423,0.1313564777374267,0.0530911822805962,0.1065930147509142,0.0036940615160967,0.055084438157533,0.0193743705749511,0.0431560054336886,0.0960537199053861,-0.0002157248968356,0.0330944723971252,0.0334415435791015,0.1005328099216619,0.1971095235534206,0.0084898499754628,0.1017296442711894,0.1649144795352453,0.0728985297758431,0.0765065230263603
LED-display-domain-7digit,0.0,0.0,NeuralNetFastAI_r98_BAG_L1,450.0,10.0,18.495267868041992,0.0050279922689552,-0.0022106021740991,-0.0483391121543717,-0.1470807383550952,2.8859848976135254,0.0122800551102714,0.0141318446811702,-0.0234984967352182,-0.0870683108383996,1.0227036476135254,-0.0369876807076658,-0.0642376597070445,-0.1363764652191965,-2.182953605012348,1.3133904933929443,-0.0366630507465883,-0.0730411626160558,-0.0890804646492828,-0.826281000218199,1.5632286071777344,-0.0022023869804239,-0.0108436610394467,-0.0263778484824049,-0.0989130070122579,1.909451246261597,-0.0100551416319552,-0.02944384983689,-0.0411464980864593,-0.1519236215421309,0.0329234600067138,0.0128288776891955,0.005782252630581,-0.0421999208370824,-1.6769978592410268,0.0065009593963623,0.03009730577979,0.0371847724593761,-0.0447638361541533,-1.027121355270192,2.187067031860352,0.002259612319643,0.0100905225855401,-0.0076450384225278,-0.0209956947900354,3.235595226287842,-0.0003497085134369,-0.0106948173930868,-0.0095746789371607,-0.025224225093714,0.0251853466033935,0.0317389676342669,0.0545988349833836,-0.0021026501497834,-0.3242131157115929,0.5482990741729736,0.0080947974522827,-0.0109752820582232,-0.0058067270837653,-0.0159852964358611,0.087956428527832,0.035010081801251,0.0453391493929343,0.0010002938808164,0.001359137137317,0.0050525665283203,0.1772684490943954,0.3162618557022263,0.0420920733901058,0.1377941801823261,0.0871365070343017,0.0657268598585789,0.1259143322090515,0.0069951316636158,0.0255922202238192,0.0200858116149902,0.0350764470931002,0.0494343124071343,0.0012876081879016,0.0024439765378418,0.0341424942016601,0.0673314829846708,0.1596263288090833,-0.0156544885851403,-0.0283402239396753,0.17132048107813,0.0728296502821302,0.0572909343242645
LED-display-domain-7digit,0.0,0.0,NeuralNetTorch_r184_BAG_L1,450.0,10.0,18.19450163841248,-0.0398841736740808,-0.0662945960943276,-0.047438556342781,-0.1376157799652881,2.854867935180664,-0.0442777015602158,-0.0880334899150249,-0.0236259717354839,-0.0895605303802423,0.9967441558837892,-0.0220418071664813,-0.0291906224553369,-0.1378250480071191,-2.213201573182725,1.301605224609375,-0.0228570886290334,-0.0485030253309135,-0.0894421256881064,-0.725357282189911,1.5446574687957764,-0.0419947943429563,-0.0891848547446231,-0.029049899628317,-0.0984983354786203,1.8885579109191888,-0.0248883646886007,-0.0645766636418799,-0.0398161052449499,-0.1467260781147827,0.0323765277862548,-0.0101754472220377,-0.0164210767474853,-0.0494961632087314,-1.5924461905037364,0.0063173770904541,-0.0215433593767228,-0.0608820565427756,-0.0527891286289558,-0.8367597999882289,2.1780264377593994,-0.1023897011814945,-0.1830421523439387,-0.0115484194215614,-0.0355934886779222,3.0851662158966064,-0.0897057734578481,-0.1625834648580186,-0.0133454742911333,-0.0405236381012946,0.0249345302581787,-0.0077941308521003,-0.0096272161209748,-0.0123005808517022,-0.4048072680582602,0.5287649631500244,-0.1069863912996714,-0.1955241008651339,-0.0112049285115348,-0.0345247650694929,0.086381196975708,-0.0023087808635853,-0.0041760884856598,-5.8601048111450726e-05,-0.0010972344989163,0.0050158500671386,0.1737448801043657,0.311906310070513,0.0361445952675311,0.1244276248146263,0.1103622913360595,0.0345031498356627,0.072853618832305,0.0024597600992445,0.0096148993209418,0.0195341110229492,-0.0018926250673443,-0.0082753386793451,1.816485193650852e-05,0.000138486347989,0.0389981269836425,0.0753658478424176,0.1762102916888479,-0.0002809821426968,0.019195750384695,0.141515309405028,0.0605140098336677,0.0527562648720211
LED-display-domain-7digit,0.0,0.0,RandomForest_r110_BAG_L1,450.0,10.0,25.164128303527832,0.2333816602895431,0.3842248529319962,0.0747769297058058,0.1175958544967903,3.796186447143554,0.1789524211725894,0.2958150883970988,0.0355563072989656,0.0421940584273802,1.0010342597961426,0.2747946367781902,0.4362705964843432,0.1181025520679527,-0.0167803803738206,1.3123927116394043,0.2319002646919536,0.3666539262980223,0.0851352935517981,7.105368706916693e-05,1.5541906356811523,0.2998146717265957,0.5259094010210699,0.1583694705649316,0.3591608718926565,1.882751226425171,0.3088990421819059,0.5400315915710395,0.161524644825475,0.3024025007989258,0.0326302051544189,0.1071679518574235,0.1733005982471836,0.0009602458666079,-1.4214503912048204,0.0064437389373779,0.1655551138560266,0.2576648998922771,0.0208782432176894,-0.5689093459455268,2.3158233165740967,0.1263694087261892,0.2014278534882598,0.0149170910174255,0.0299797374465399,3.430433750152588,0.1066545466674411,0.1820240143272612,0.0073480975586404,0.0097227083167268,0.0249083042144775,0.1021640345970068,0.1869925645697448,0.0113666503522198,-0.2746451423151625,0.6480855941772461,0.0491504378338128,0.065434145513508,-0.0001484190208528,-0.0019858533081908,0.0882937908172607,0.0868739852728457,0.1938625699447261,0.0073060246042086,0.0128716693528824,0.0049381256103515,0.2137811618671208,0.3887083193163077,0.0512813616730812,0.1732337986181179,0.1160995960235595,0.1048362667531808,0.200815965798166,0.0140323971492704,0.0458926979369587,0.021573781967163,0.0868007802181765,0.1938625699447261,0.0075871423960338,0.0148153541692429,0.0348215103149414,0.1154889812070784,0.2505703705011142,-0.0047699816857115,0.0259139324145184,0.22064710581908,0.1058760634750134,0.103943327334192
LED-display-domain-7digit,0.0,0.0,XGBoost_r18_BAG_L1,450.0,10.0,18.654698133468628,-0.0182222895362896,-0.0362554998944203,-0.0358418725881771,-0.1237808262732708,2.901303768157959,-0.0071090705911565,-0.0444220392933736,-0.0192470427398793,-0.0847985569418718,1.038418531417847,0.0094335158447878,0.0222650170046836,-0.1091505895372207,-2.154019685850945,1.3065054416656494,-0.0107874096113887,-0.0258305703581491,-0.0789037418866831,-0.666756094823876,1.57476544380188,-0.0164783233329359,-0.0184792167212193,-0.0240237460427182,-0.10174055410756,2.089046001434326,0.0090280040513571,0.025123573945473,-0.0264924444444116,-0.1288305569983397,0.0320734977722168,0.0009245753563682,-0.0055905830394476,-0.0424443069206315,-1.7028958649881598,0.0063369274139404,0.0377867927098066,0.061278007463552,-0.0188123511131371,-0.848293162284875,2.145702838897705,-0.0580921122598124,-0.1168767792791024,-0.0102836915497415,-0.028929031704449,3.2201998233795166,-0.0850947638798171,-0.1383974800752993,-0.0135069305710674,-0.0345685650253047,0.0249462127685546,0.0273749347597475,0.0518745690884275,-0.0021025515150072,-0.332328662486333,0.5094208717346191,-0.0640868140483788,-0.1187735426767418,-0.0094048062690835,-0.0243070424725819,0.0836021900177002,0.0146033170779201,0.0596318543174614,-0.0005036034027609,0.001748490903216,0.0057101249694824,0.1733188857049809,0.338274901671749,0.0361575447627752,0.1248051832730157,0.1091349124908447,0.0416196313789797,0.0655517859125716,0.0022123028765028,0.0147959101417411,0.0194885730743408,0.0145895284638465,0.0605380039962215,-0.00016771454465,0.0027375244545853,0.0328238010406494,0.0814666965603734,0.1848612700255924,-0.005173056253645,0.0026627755051271,0.144294212641091,0.0573979358938922,0.0595131074719959
LED-display-domain-7digit,0.0,1.0,CatBoost_r6_BAG_L1,450.0,10.0,19.17971706390381,-0.013599457212946,-0.0269923249983953,-0.0397096475660375,-0.1107334131230082,2.920269727706909,0.0070067779085443,0.0008485747873783,-0.021969882042121,-0.077805398715039,0.981194019317627,0.0091115480259384,0.0193373663102587,-0.1248886597048418,-2.3501825189486967,1.2882227897644043,-0.0207998246910507,-0.0282102581320537,-0.0814864911855835,-0.527238095256293,1.5473601818084717,0.0053203861376954,0.004171996485028,-0.0198720578416177,-0.0758038748040174,1.886163711547852,0.0380172656427143,0.059243441907068,-0.0221821795216459,-0.0897806430121676,0.0321178436279296,0.0307580092531596,0.0922292378337847,-0.0384961754340468,-1.5119315898790957,0.0064263343811035,0.0800244424225987,0.1507953041046858,-0.0050975122439245,-0.6005383855772304,2.158254384994507,-0.0602579776640091,-0.0921512112932072,-0.0096448919278845,-0.023329874916623,3.213226556777954,-0.0658186593018474,-0.1094337079094516,-0.0119185728953001,-0.0292789041809737,0.0254292488098144,0.0420827637153711,0.0674871062984069,0.0036229250742953,-0.2844192122150625,0.533926248550415,-0.0591331058492867,-0.0988969769163264,-0.0083546786739813,-0.0191794242813355,0.0917444229125976,0.0150220113664531,0.0584261188573307,-0.0007118868243483,0.0011796529218554,0.0051498413085937,0.1923890503151981,0.3748964646044704,0.0394359618965393,0.1369606249075796,0.0970540046691894,0.04069273132345,0.0965149819354216,0.0017851732709022,0.01857164047348,0.0187752246856689,0.0150427490672912,0.0583859706256124,-0.0003128550826956,0.0029999815734724,0.0422666072845459,0.0861615277584566,0.1459645911244054,-0.0068317993494879,0.0050578418001532,0.1645126736816018,0.069192525040699,0.0357495545016394
LED-display-domain-7digit,0.0,1.0,LightGBM_r13_BAG_L1,450.0,10.0,19.01351523399353,-0.029198511887018,-0.0504088451671931,-0.0509412118914632,-0.1455204953749974,2.967377185821533,-0.0374450579042411,-0.081289949628214,-0.0282292970523918,-0.1005781473384963,0.9914801120758056,0.0132436666309649,0.0417587358670102,-0.1488507878509927,-2.3171384406162217,1.300783634185791,-0.0108707611473613,-0.0164166628072659,-0.0916001748359689,-0.7215111588937644,1.5804669857025146,-0.0228004257520244,-0.0305445224584804,-0.0311702359582192,-0.1069495338041127,1.94431734085083,-0.0011295964184607,0.0049505178092254,-0.0349474054820849,-0.1239421984382594,0.0325493812561035,0.0279529958876308,0.0314799961199363,-0.0296420007532506,-1.4703646892971465,0.0064189434051513,0.0337016904465058,0.0578983413717812,-0.0284297334108378,-0.7448754580731064,2.222378253936768,-0.0436153730503496,-0.0883133386075496,-0.0113285155241849,-0.031930731901278,3.221548080444336,-0.0538340487674555,-0.1014799535605642,-0.0136330826988225,-0.0363464962463412,0.0249028205871582,0.031854832804376,0.0409100166128741,-0.0020221212701145,-0.2653668318871739,0.5346496105194092,-0.0362113927772343,-0.0530209668063455,-0.0096303046446062,-0.0276930925146573,0.0844936370849609,0.0408979830685275,0.0962705131495992,0.001427448896383,0.0038014982144037,0.0057065486907958,0.1605476574088404,0.3265931887138221,0.0353505725808439,0.1172990094735805,0.1089797019958496,0.0620096414192648,0.1043967678190933,0.0050014424843062,0.0193729542785634,0.0211672782897949,0.0408179057591707,0.0930469190536273,0.0016376043769935,0.005657022897568,0.0340220928192138,0.0920436054341747,0.2125838738431533,0.0062263521462667,0.0423879950907495,0.1919177352505115,0.0880480612767984,0.0394789187113443
LED-display-domain-7digit,0.0,1.0,LinearModel_r31_BAG_L1,450.0,10.0,18.18948197364807,0.0409095609245529,0.0678950209064189,-0.0300449745627828,-0.0373319270491063,2.9600892066955566,0.0278118342714801,0.0750533582753592,-0.0154463411178043,-0.0169606237163437,1.042151689529419,0.0285556149140317,0.0265307362913315,-0.1144417088100965,-2.315594472307534,1.310344934463501,0.017424465088122,0.0443348430708202,-0.0643863891394452,-0.6187211582782038,1.5707645416259766,-0.0050084916110252,0.0119626326938871,-0.0156882741982661,-0.0218337921579141,1.8916490077972408,0.0551213874110702,0.0894331704788621,-0.0099152990327164,-0.013042218586666,0.0323700904846191,0.0412492128327552,0.0264992796004788,-0.0343547597382574,-1.4374451101455714,0.0064718723297119,0.0814517412132117,0.101228200098093,-0.0178967894657022,-0.927446479400856,2.3293561935424805,0.0021259903041719,0.0409886602123151,-0.0147138482733557,-0.0101269951150526,3.294272899627685,-8.319119000004503e-06,0.0345163803358445,-0.0156227129397792,-0.0097471858962833,0.0250992774963378,0.047663381842674,0.0577553792590495,0.0006500687363606,-0.2040348221866911,0.5891611576080322,0.0062537938575764,0.0545391314784258,-0.0123918408771207,-0.0063477258485929,0.0883069038391113,0.0521479044668304,0.0911534554322133,-0.0010742676370603,0.0302855263266732,0.0057644844055175,0.2001059728996615,0.3429412574686123,0.0426052234168465,0.1873005921426455,0.1246614456176757,0.0648247334912068,0.0997976975036565,0.004404647366379,0.0537776356197395,0.0218732357025146,0.0522572809108145,0.0940802686637875,-0.000545062464088,0.0339219191616575,0.0343539714813232,0.1099766701053523,0.226618378741817,0.008484921209585,0.100614150939687,0.1765503280246654,0.0817405483720565,0.1042762715286678
