,function,over_metrics_L1,under_metrics_L1,ece_metrics_L1,true_L1_ECE
0,underconfident_binary_centered,-7.969170869827434e-07,0.1238160798051807,0.12381528288809371,0.1280020857754723
1,underconfident_binary_centered,-0.0010677587475742805,0.1257591001897437,0.1246913414421694,0.12728226526494812
2,underconfident_binary_centered,-0.0006174212851396203,0.12606303062006655,0.12544560933492693,0.12775602517055587
3,underconfident_binary_centered,-0.0009633968752133114,0.12731137148463612,0.1263479746094228,0.12813931961755884
4,underconfident_binary_centered,0.001092974211962083,0.12905939914235368,0.1301523733543158,0.12761673189151457
5,underconfident_binary_centered,-0.00020762126208733736,0.12565112680329377,0.12544350554120642,0.12688755531530632
6,underconfident_binary_centered,-0.001473032348755092,0.11990668299737028,0.11843365064861519,0.12803402800778163
7,underconfident_binary_centered,-0.0003482129701690326,0.12672965157695268,0.12638143860678364,0.12737396880968951
8,underconfident_binary_centered,0.0005549116420789708,0.12624557838497424,0.12680049002705324,0.12784494112775796
9,underconfident_binary_centered,0.00042171450757261524,0.1256983994972237,0.12612011400479634,0.1281492890894819
10,under_and_over_confident_binary_centered,0.06746546592397043,0.06600833818980385,0.13347380411377424,0.12802772399999554
11,under_and_over_confident_binary_centered,0.05579520811502479,0.06189200488869333,0.11768721300371812,0.12828768283373118
12,under_and_over_confident_binary_centered,0.06135812710241677,0.0587085891189799,0.12006671622139668,0.12837561790771443
13,under_and_over_confident_binary_centered,0.06538114463137049,0.06709684043338013,0.13247798506475061,0.1278080554365416
14,under_and_over_confident_binary_centered,0.060370336412721146,0.06051811606620765,0.12088845247892879,0.1281000335066428
15,under_and_over_confident_binary_centered,0.056460514078464884,0.06542151678672622,0.12188203086519112,0.12805948056651853
16,under_and_over_confident_binary_centered,0.05936794091640567,0.0645818031973352,0.12394974411374089,0.12835284716451767
17,under_and_over_confident_binary_centered,0.0716789729559485,0.06344887516731343,0.1351278481232619,0.12808818818636145
18,under_and_over_confident_binary_centered,0.06274580066834608,0.061482614638050846,0.12422841530639692,0.12784727283191502
19,under_and_over_confident_binary_centered,0.05892088148709752,0.060258008695311616,0.11917889018240913,0.12804514639045844
20,overconfident_binary_centered,0.12810119534167383,0.00023764186005539135,0.12833883720172923,0.12864504849442968
21,overconfident_binary_centered,0.1275682154064834,-0.0013634250593635236,0.1262047903471199,0.12867630312754602
22,overconfident_binary_centered,0.12400536551749639,-0.0022338015651987503,0.12177156395229764,0.1289765027006527
23,overconfident_binary_centered,0.1344190794591408,0.0017347132164180102,0.13615379267555885,0.12861878166441237
24,overconfident_binary_centered,0.13170895934190285,0.00038784253447097454,0.13209680187637385,0.12855245033981585
25,overconfident_binary_centered,0.13071281289515785,-0.00012960395411571617,0.1305832089410421,0.1283922819973937
26,overconfident_binary_centered,0.12720320289248324,-0.000856692983889376,0.12634650990859383,0.12868551049080368
27,overconfident_binary_centered,0.128027238948715,-0.0007226526056158128,0.1273045863430992,0.12870017738066142
28,overconfident_binary_centered,0.13812616016683502,-0.00023505711082143034,0.13789110305601354,0.12880114410077634
29,overconfident_binary_centered,0.11087918068147588,-0.0035678506516321562,0.1073113300298437,0.1285243034456391
