dataset,experiment_index,fold,config,n_samples,time_BetterCatBoost,ERT_L1_ECE_BetterCatBoost,ERT_brier_score_BetterCatBoost,ERT_logloss_BetterCatBoost,time_CheapBetterLGBMClassifier,ERT_L1_ECE_CheapBetterLGBMClassifier,ERT_brier_score_CheapBetterLGBMClassifier,ERT_logloss_CheapBetterLGBMClassifier,time_XT,ERT_L1_ECE_XT,ERT_brier_score_XT,ERT_logloss_XT,time_RF,ERT_L1_ECE_RF,ERT_brier_score_RF,ERT_logloss_RF,time_tabICLv2,ERT_L1_ECE_tabICLv2,ERT_brier_score_tabICLv2,ERT_logloss_tabICLv2,time_TabPFN,ERT_L1_ECE_TabPFN,ERT_brier_score_TabPFN,ERT_logloss_TabPFN,time_PartitionWise,ERT_L1_ECE_PartitionWise,ERT_brier_score_PartitionWise,ERT_logloss_PartitionWise,time_NadarayaWatsonH_05,ERT_L1_ECE_NadarayaWatsonH_05,ERT_brier_score_NadarayaWatsonH_05,ERT_logloss_NadarayaWatsonH_05,time_NadarayaWatson,ERT_L1_ECE_NadarayaWatson,ERT_brier_score_NadarayaWatson,ERT_logloss_NadarayaWatson,time_InitLogitLGBMClassifier,ERT_L1_ECE_InitLogitLGBMClassifier,ERT_brier_score_InitLogitLGBMClassifier,ERT_logloss_InitLogitLGBMClassifier,time_InitLogitCatboostClassifier,ERT_L1_ECE_InitLogitCatboostClassifier,ERT_brier_score_InitLogitCatboostClassifier,ERT_logloss_InitLogitCatboostClassifier,time_IsotonicPredictor,ERT_L1_ECE_IsotonicPredictor,ERT_brier_score_IsotonicPredictor,ERT_logloss_IsotonicPredictor,time_TSPredictor,ERT_L1_ECE_TSPredictor,ERT_brier_score_TSPredictor,ERT_logloss_TSPredictor,time_overfitted_IsotonicPredictor,ERT_L1_ECE_overfitted_IsotonicPredictor,ERT_brier_score_overfitted_IsotonicPredictor,ERT_logloss_overfitted_IsotonicPredictor,time_overfitted_TSPredictor,ERT_L1_ECE_overfitted_TSPredictor,ERT_brier_score_overfitted_TSPredictor,ERT_logloss_overfitted_TSPredictor,time_overfitted_PartitionWise,ERT_L1_ECE_overfitted_PartitionWise,ERT_brier_score_overfitted_PartitionWise,ERT_logloss_overfitted_PartitionWise,ERT_L1_ECE_Binning_Classic
Australian,0.0,0.0,CatBoost_r113_BAG_L1,621.0,3.5786731243133545,0.0028081749464174,-0.0010489304131046,-0.0127193520330628,2.0144639015197754,0.0116369355129678,-0.0020855941408199,-0.0195018666754281,1.5126008987426758,0.0071227691083365,-0.0537515896347352,,1.867855310440064,0.0043693557748571,-0.0351633984071814,,2.6601579189300537,-0.0010662887319201,-0.000462833705168,-0.0106240575300108,2.8124732971191406,0.007576819665051,-0.0002651241030056,-0.0062788694722592,0.2035229206085205,0.0127660478519816,-0.003427208623352,,0.0146293640136718,0.0113203952308443,-0.0360546932993458,-0.1298861458903554,0.0086669921875,-0.0031370217556133,-0.0021559466574831,-0.0147326194794623,3.013793468475342,-0.0149433117754637,-0.0009947654751083,-0.0078646651100487,2.545084238052368,-0.0153298936527222,-0.00108915523179,-0.0077154878933628,0.0144433975219726,0.000293680450915,-0.0020181291841452,,0.1082081794738769,-0.016420683881732,-0.0002727983720291,-0.0015199038712469,0.0027797222137451,0.0675159549037288,0.006837610761587,,0.0117285251617431,0.0060037047433143,2.6797938361577955e-05,8.821531021574458e-05,0.0066242218017578,0.0360175234240505,0.0062844597827508,0.0157911317729396,0.0313154235797155
Australian,0.0,0.0,LightGBM_r66_BAG_L1,621.0,3.848729372024536,-0.0295984823804799,-0.0050466970525416,-0.0204312805810522,2.239500045776367,-0.0262032474468882,-0.0060820981249648,-0.0273700121047575,1.5730667114257812,-0.0234954676605671,-0.0761882044522789,,2.004119873046875,-0.0239440031444503,-0.0527124675875496,,2.2388930320739746,-0.0113516397834274,-0.0021837322544453,-0.0112329151750376,2.515397548675537,-0.0184160426529875,-0.0027055694268785,-0.0133430099377708,0.025510549545288,-0.0182755770806974,-0.0060090134273304,-0.0222227328351608,0.0097544193267822,-0.0060017144809176,-0.0391093981897938,-0.1428034164783875,0.0088715553283691,-0.0034231173224837,-0.0022614782106188,-0.017194322270221,2.0613009929656982,-0.0274298778485806,-0.0021577939935599,-0.0106080247862354,2.604877233505249,-0.0256156952936352,-0.0022532483975028,-0.0095974390712656,0.013909101486206,-0.0155702215178028,-0.0053966117733155,,0.1088621616363525,-0.0261685982261999,-0.000681936165311,-0.0042384934276833,0.0027656555175781,0.0501351461137986,0.0044060832179002,,0.012319803237915,-0.0014395473000455,-2.9638218792329973e-05,0.0001092531811338,0.0063846111297607,0.0236474489879737,0.0016171891409067,0.0052014702786811,0.0277776593025983
Australian,0.0,0.0,LinearModel_r30_BAG_L1,621.0,4.210524797439575,0.0360385092151035,0.0007096999316759,0.0137447514621225,2.470061779022217,0.027842768247403,-0.000854792434978,0.0089868466004473,1.5504138469696045,-0.0105958752974912,-0.0721888408402626,,1.980238437652588,0.0018261899950718,-0.0483497537949329,,2.393404245376587,0.0117440185365432,-0.0005170693289525,0.0086356021465057,2.4915595054626465,0.0240752254374821,8.621462804084268e-06,0.0097973090702712,0.0254452228546142,0.0196660700820401,-0.0015700666137719,0.0009081378606042,0.0096321105957031,0.0192504935862811,-0.030989311624298,-0.0859615899185755,0.0087780952453613,0.0401646805837525,0.0003275465029802,0.0106295931278442,2.1460516452789307,0.0458844405664807,0.0003290260832842,0.0083176671769334,2.849943161010742,0.0454948842200796,0.0005828908482292,0.0086888298615873,0.0269932746887207,0.0141977039188582,-0.0003165648930214,,0.0892789363861084,0.0316232159074531,0.000620489118616,0.0097986222606317,0.0027587413787841,0.0660184703783421,0.0083734583253765,,0.0117223262786865,0.0315786440383969,0.0010332317414312,0.0133980546074832,0.0067012310028076,0.0315507879372365,0.0043852250180702,0.0249722937131173,0.0609603042994744
Australian,0.0,0.0,NeuralNetFastAI_r168_BAG_L1,621.0,4.307905197143555,-0.0162171403764497,-0.0062310020395591,-0.0220689120339925,3.233126640319824,-0.0099587436929125,-0.0066464999252799,-0.0278613343574741,1.537856101989746,0.0005217897261603,-0.0519975511795989,,1.954198122024536,-5.780691483545965e-05,-0.0381952294543196,,2.2660000324249268,-0.0173917196667713,-0.002222149855627,-0.0103066330413007,2.4920215606689453,-0.013733924068152,-0.0034113461677548,-0.013402891438608,0.0262632369995117,-0.0187755264336004,-0.0066619471031951,,0.0096931457519531,0.0204567770075633,-0.0334279312478845,-0.1204031855928535,0.0089316368103027,-0.00251674107061,-0.0033843147566684,-0.0190241365615132,2.2054762840271,-0.0245962771609686,-0.0026908194161262,-0.010157441394069,2.7569234371185303,-0.0142696763441467,-0.0027231604276097,-0.0094473118442175,0.0140771865844726,-0.0192559047629796,-0.005539287360393,,0.1067876815795898,0.005526750669386,-0.0002751687198656,0.0012525340613571,0.0026271343231201,0.0572465859112805,0.0061067961601844,,0.0110106468200683,0.0054979809456433,0.0001020675881338,0.0029681533119225,0.0065939426422119,0.056804880063726,0.003216995954229,0.0161210533915429,0.0252335679487905
Australian,0.0,0.0,NeuralNetTorch_r25_BAG_L1,621.0,4.2620227336883545,-0.0127615800991053,-0.0036169536351709,-0.0106634563651747,2.438401460647583,-0.0073186571876728,-0.0047263416757796,-0.0126913035225573,1.510035276412964,0.0110649553366365,-0.0685413513243841,,1.937163591384888,0.0090031105126464,-0.0472909015722849,,2.134845495223999,-0.0214980865032442,-0.002262116800793,-0.0081143360158218,2.5568442344665527,-0.0232890143863736,-0.00278773698731,-0.0092557089889692,0.0752971172332763,-0.0135114570752387,-0.0086996721902075,,0.0096826553344726,-0.0109910282124795,-0.0403452415987068,-0.1283615115247756,0.0088880062103271,-0.0030733472136119,-0.0034893063019761,-0.0128856360108471,2.3699772357940674,-0.0260800274915392,-0.001450308508513,-0.0043765206871434,2.728419303894043,-0.0249522989482889,-0.0020970263933208,-0.0066090105397897,0.0139338970184326,-0.0091939499801805,-0.0040027848041076,,0.0955853462219238,-0.0147457569096778,-0.0002426041747533,-0.0022111140722619,0.0026800632476806,0.0551812568500985,0.005979925052454,,0.0114028453826904,0.0094172556647631,3.621748041129913e-05,2.817885054878788e-05,0.0068399906158447,0.0279126836027464,0.0024990409096178,0.0104014253811445,0.0426082599746144
Australian,0.0,0.0,XGBoost_r14_BAG_L1,621.0,4.312193393707275,0.0030872266320627,-0.0021716890573942,-0.0096131245198903,2.550114631652832,-0.0075553240709311,-0.0031847655350969,-0.0186800429561058,1.560847282409668,0.0201420587975476,-0.0454384881092344,,1.9409363269805908,0.0005822880617377,-0.0320904836390096,,2.0599136352539062,0.0026610525860476,-0.0010320717550875,-0.0049652816987949,2.503652811050415,0.0129846201992949,-0.0014451329352899,-0.0068222481870471,0.089280366897583,-0.0027162581221406,-0.0048755288735207,-0.0164147320327172,0.0097391605377197,0.0067967534882101,-0.0382545700730274,-0.1370292443984972,0.0089013576507568,-0.007801651435448,-0.0024920723518525,-0.0152066787528929,2.24849796295166,-0.0135332495541676,-0.0015758645113582,-0.0056763278720904,3.217802047729492,-0.0139629570132636,-0.0018002992366578,-0.0063925530824558,0.0143358707427978,-0.0044355865587806,-0.0022542323399194,,0.1085476875305175,-0.0247576189038909,-0.0005581683171257,-0.0033354584117138,0.0027370452880859,0.0618024851281302,0.0061003295090993,,0.0116965770721435,-0.0067191834814673,-5.441490467020249e-05,8.703628271400365e-05,0.0069313049316406,0.0331176750002292,0.00308767039446,0.0108942548643524,0.0295347023977269
Australian,0.0,1.0,CatBoost_r62_BAG_L1,621.0,4.095168828964233,-0.0150108513931097,-0.0043762706995938,-0.0112541211628775,2.535068988800049,-0.0153557127323827,-0.0051369044925676,-0.0161792896161636,1.5575299263000488,-0.0044233095799978,-0.0635899803127559,,1.893723726272583,-0.0036295337417688,-0.0430361026805104,,2.1043591499328613,-0.023430485578033,-0.0019158212340966,-0.0054572179388765,2.554502487182617,-0.0159727140570945,-0.0023202983123806,-0.0079564646755134,0.0729658603668212,-0.0248675729547071,-0.0075503107271408,,0.0097270011901855,0.0029822440407223,-0.0367809992274137,-0.1332537169741887,0.008876085281372,-0.021601232998384,-0.0030774342265737,-0.0165310717018741,3.0088820457458496,-0.0274680124120591,-0.0016716206882255,-0.0053805918885004,3.0316619873046875,-0.0321186271646045,-0.00166917691534,-0.0053486469782603,0.0141246318817138,-0.0215660886431188,-0.0044517675921756,,0.0898756980895996,-0.0208768118627144,-0.0003264066584265,-0.0012280773134226,0.0027077198028564,0.0598686725493961,0.0047133753355937,,0.0116395950317382,-0.0003664739976971,-1.297196841085202e-05,1.314812978719937e-05,0.0071299076080322,0.0251775372928254,0.0018880819539572,0.0093154429629424,0.0250301080427451
Australian,0.0,1.0,LightGBM_r21_BAG_L1,621.0,4.608469724655151,0.0013975454048467,-0.0034377124078453,-0.0149146275008555,2.7431018352508545,0.0094109357213725,-0.0032800655470543,-0.0150079940537088,1.5163569450378418,-0.0069029607937164,-0.0735098403846475,,1.8972079753875728,-0.0088169276670045,-0.0487109851983429,,2.1021456718444824,-0.027605545997493,-0.0015877324549965,-0.0101694534475802,2.5409109592437744,-0.0315313460048344,-0.0013975165407289,-0.009491420360415,0.151273488998413,0.0121004687529661,-0.004333973863696,,0.0100345611572265,0.0173808953891542,-0.0339878566456763,-0.1282527621489296,0.0086994171142578,-0.019166056746947,-0.0027252100115898,-0.0175599578946746,2.348680257797241,-0.0155715078920302,-0.0008053928464903,-0.0053759906868352,3.1029469966888428,-0.0011401379878178,-0.0009818700946316,-0.0057060819226429,0.0269811153411865,-0.0034016039245254,-0.0030533427336716,,0.0832719802856445,0.0096385579361734,4.0048575263490486e-06,-0.0016194220031329,0.0027565956115722,0.0456157609126373,0.0052998228234917,,0.0121572017669677,0.0096090832864265,0.0003140791778483,0.001062095729567,0.0093908309936523,0.024121572663775,0.0026035942484728,0.0052453372942437,0.0214434995686398
Australian,0.0,1.0,LinearModel_r30_BAG_L1,621.0,4.565062761306763,0.0204891955050256,-0.0022373969380431,0.0097963610464113,2.5631659030914307,0.0210856179134026,-0.002189059713926,0.0085937386346988,1.5466268062591553,-0.0147981053132586,-0.0619969963352824,,1.9216880798339844,-0.007161064632143,-0.0490110109960775,,2.078549385070801,0.0145321542568272,-0.000293891287366,0.011885345499753,2.561664342880249,0.0122288166570574,-0.0005836884114945,0.0116136000478527,0.1565015316009521,0.0216136022642743,-0.0018113997638088,,0.0096421241760253,0.0260510357704381,-0.030534553709087,-0.0814150692098496,0.0086674690246582,0.0126866908943949,-0.0011019545417635,0.0088176104540854,3.288304328918457,0.0277139376526405,-0.0003938051101225,0.0079071694124918,3.411022424697876,0.0287331812121702,-0.0004916395520658,0.0070205145994974,0.013657808303833,0.0232240359830196,0.0001729723152109,,0.1084604263305664,0.0333079458522708,0.0002181496294435,0.0111083960245941,0.0026605129241943,0.0586000807652131,0.0064064552842158,0.0411643423484046,0.0117247104644775,0.0332549932104799,0.0005762534677685,0.014290600837281,0.0072958469390869,0.0527332570088311,0.0043667444154848,0.0350940371705136,0.0386004575577695
Australian,0.0,1.0,NeuralNetFastAI_r41_BAG_L1,621.0,3.928499460220337,0.0150153956214028,-0.0013751449064208,-0.004637838359217,3.0242679119110107,0.0210875268077059,-0.0018261967302974,-0.0038844566939197,1.5243735313415527,0.0096086239445471,-0.0398024034473002,,1.9179949760437007,0.0120110876957042,-0.0274108136595071,,2.0615975856781006,0.0160683405676318,-0.0008956617588655,-0.0060808551237927,2.517254114151001,0.0098624578169879,-0.0008392968393783,-0.0038312517396363,0.1699519157409668,0.0063330582722663,-0.0035876095926755,,0.0096404552459716,-0.0024778573723687,-0.0374697299788535,-0.1222167552920938,0.0086545944213867,0.0145735591261499,-0.0006855239404808,-0.0009296375984965,2.8170955181121826,-0.0107900041961439,-0.0010533606240582,-0.0058943863205801,3.166998624801636,-0.0093373934621349,-0.0009005092767629,-0.0052232661815053,0.0140995979309082,0.0139041196061115,-0.0015439766982183,,0.1055424213409423,-0.010153644761904,-0.0004068409888762,-0.0022886688490974,0.0026009082794189,0.0522182779574982,0.0065550507034987,,0.0116462707519531,-0.0097976126678974,-0.000205364064833,0.0001408826012967,0.0064382553100585,0.0340114536142408,0.0054416912337451,,0.03315834413641
